Data,Dobowa prognoza zapotrzebowania KSE,Rzeczywiste zapotrzebowanie KSE
2017-01-19,22870.83,22697.44
2017-01-20,22833.33,22330.33
2017-01-21,20366.67,19889.07
2017-01-22,18370.83,17920.88
2017-01-23,21964.58,21518.19
2017-01-24,22825.0,22280.17
2017-01-25,22750.0,22196.31
2017-01-26,22666.67,22034.98
2017-01-27,22587.5,22054.81
2017-01-28,19958.33,19851.85
2017-01-29,17954.17,17952.42
2017-01-30,21972.92,21457.25
2017-01-31,22527.08,22035.48
2017-02-01,22431.25,22076.43
2017-02-02,22366.67,21907.75
2017-02-03,22266.67,21763.65
2017-02-04,19933.33,19568.78
2017-02-05,18112.5,17854.27
2017-02-06,21881.25,21491.76
2017-02-07,22512.5,22301.8
2017-02-08,22620.83,22629.95
2017-02-09,22966.67,22736.51
2017-02-10,22902.08,22183.84
2017-02-11,19862.5,20064.07
2017-02-12,17900.0,18345.42
2017-02-13,21787.5,22125.14
2017-02-14,22160.42,22339.4
2017-02-15,22295.83,21883.04
2017-02-16,22162.5,21439.69
2017-02-17,22129.17,21553.19
2017-02-18,19241.67,19405.63
2017-02-19,17637.5,17276.81
2017-02-20,20908.33,20629.26
2017-02-21,21458.33,21016.01
2017-02-22,21529.17,21030.14
2017-02-23,21508.33,20900.08
2017-02-24,21512.5,20832.08
2017-02-25,19366.67,18912.05
2017-02-26,17450.0,17013.92
2017-02-27,20883.33,19918.32
2017-02-28,21300.0,20335.69
2017-03-01,21039.58,20458.93
2017-03-02,20931.25,20516.88
2017-03-03,20860.42,20445.91
2017-03-04,18612.5,18189.22
2017-03-05,16833.33,16233.53
2017-03-06,20608.33,19944.21
2017-03-07,21022.92,20555.28
2017-03-08,20875.0,20562.68
2017-03-09,20716.67,20860.61
2017-03-10,20820.83,20625.8
2017-03-11,18658.33,18469.65
2017-03-12,17112.5,16712.77
2017-03-13,20458.33,20146.65
2017-03-14,20883.33,20403.6
2017-03-15,20733.33,20227.09
